VALIDATION_BATCH_ID,STATUS,RULE_COUNT,FIRST_RULE_EXECUTED_TS,LAST_RULE_EXECUTED_TS
20260502031153,FAILED,1,2026-05-02 03:15:07.452,2026-05-02 03:15:07.452
20260502031153,PASSED,7,2026-05-02 03:15:06.139,2026-05-02 03:15:10.496
20260502024231,FAILED,1,2026-05-02 02:45:15.669,2026-05-02 02:45:15.669
20260502024231,PASSED,7,2026-05-02 02:45:14.200,2026-05-02 02:45:18.292
20260430081645,FAILED,1,2026-04-30 08:18:36.675,2026-04-30 08:18:36.675
20260430081645,PASSED,7,2026-04-30 08:18:35.387,2026-04-30 08:18:38.685
20260430075931,FAILED,1,2026-04-30 08:01:49.356,2026-04-30 08:01:49.356
20260430075931,PASSED,7,2026-04-30 08:01:40.772,2026-04-30 08:01:55.415
20260430030321,FAILED,3,2026-04-30 03:48:10.701,2026-04-30 07:37:42.053
20260430030321,PASSED,21,2026-04-30 03:48:09.678,2026-04-30 07:37:56.582
20260430033303,PASSED,1,2026-04-30 03:33:03.354,2026-04-30 03:33:03.354
20260430033301,PASSED,2,2026-04-30 03:33:01.104,2026-04-30 03:33:01.734
20260430033300,PASSED,1,2026-04-30 03:33:00.731,2026-04-30 03:33:00.731
20260430033300,FAILED,1,2026-04-30 03:33:00.257,2026-04-30 03:33:00.257
20260430033257,PASSED,1,2026-04-30 03:32:57.062,2026-04-30 03:32:57.062
20260430033255,PASSED,2,2026-04-30 03:32:55.424,2026-04-30 03:32:55.767
